PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"HEAD OFFICE",2800000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"SIAKA STEVENS STREET BRANCH",600000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"CLOCK TOWER BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"BO BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KENEMA BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"WELLINGTON BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"WILBERFORCE STREET BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KOIDU BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"MOYAMBA BRANCH",0.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"PUJEHUN BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"CONGO CROSS BRANCH",200000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"MAKENI BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"CHARLOTTE STREET BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KABALA BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"KAILAHUN BRANCH",0.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"WILKINSON ROAD BRANCH",100000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"JUBA BRANCH",200000.00
